Skill,Category,Aliases,Priority,Tier
Python,Language,py,1,Core
Java,Language,,1,Core
C++,Language,cpp,1,Core
C#,Language,csharp,1,Core
JavaScript,Language,js;javascript,1,Core
TypeScript,Language,ts,1,Core
Go,Language,golang,1,Advanced
Rust,Language,,1,Advanced

Flask,Framework,,1,Core
Django,Framework,,1,Core
FastAPI,Framework,,1,Advanced
React,Framework,reactjs,1,Core
Angular,Framework,,1,Advanced
Vue,Framework,vuejs,1,Core
Node.js,Framework,node;nodejs,1,Core

NumPy,Library,numpy,1,Core
Pandas,Library,,1,Core
Scikit-learn,Library,sklearn,1,Advanced
TensorFlow,Library,tf;tensorflow,1,Advanced
PyTorch,Library,torch,1,Advanced

SQL,Database,,1,Core
MySQL,Database,,1,Core
PostgreSQL,Database,postgres,1,Advanced
MongoDB,Database,mongo,1,Advanced

Git,Tool,,1,Core
GitHub,Tool,,1,Core
Docker,Tool,,1,Advanced
Kubernetes,Tool,k8s,1,Advanced
Linux,Tool,,1,Core
Postman,Tool,,1,Core

AWS,Cloud,,1,Advanced
Azure,Cloud,,1,Advanced
GCP,Cloud,google cloud,1,Advanced

Machine Learning,Concept,ml,2,Advanced
Deep Learning,Concept,dl,2,Advanced
Natural Language Processing,Concept,nlp,2,Advanced
Computer Vision,Concept,cv,2,Advanced
Data Structures,Concept,dsa,2,Core
Object Oriented Programming,Concept,oop,2,Core
